camn,frame,timestamp,cam_received_timestamp,device_timestamp,block_id,x,y,area,slope,eccentricity,frame_pt_idx,cur_val,mean_val,sumsqf_val
7,35323,NaN,1746558008.3490522,495378490338,35529,131.16405,615.63324,44671.0,-0.029588964,1.5200157,0,255,12.226562,2666.4104
7,35323,NaN,1746558008.3490522,495378490338,35529,87.52779,614.4309,45073.0,-0.7012866,1.3136162,1,255,12.417246,2699.7268
6,35324,NaN,1746558008.3558192,481660771923,35537,1046.5587,531.23926,40147.0,0.9628135,1.1842128,0,255,16.099154,2658.1428
6,35324,NaN,1746558008.3558192,481660771923,35537,1098.7985,533.0221,40341.0,-0.5931096,1.2136788,1,255,16.71482,2697.4314
4,35324,NaN,1746558008.3590763,485910951975,35527,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35324,NaN,1746558008.3591788,501865751907,35534,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35324,NaN,1746558008.3591037,495388490625,35530,131.14304,615.651,44813.0,-0.04137951,1.652848,0,255,12.226562,2666.4104
7,35324,NaN,1746558008.3591037,495388490625,35530,87.53662,614.43805,45013.0,-0.7049465,1.316684,1,255,12.417246,2699.7268
6,35325,NaN,1746558008.365933,481670772210,35538,1046.5476,531.2483,40219.0,0.92523444,1.1800082,0,255,16.099154,2658.1428
6,35325,NaN,1746558008.365933,481670772210,35538,1098.7979,533.0351,40486.0,-0.5847672,1.2003484,1,255,16.71482,2697.4314
4,35325,NaN,1746558008.3691194,485920952262,35528,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35325,NaN,1746558008.3690763,501875752194,35535,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35325,NaN,1746558008.3690176,495398490939,35531,131.17763,615.6644,44644.0,-0.022585642,1.5218912,0,255,12.226562,2666.4104
7,35325,NaN,1746558008.3690176,495398490939,35531,87.56909,614.4546,45054.0,-0.6884669,1.3307368,1,255,12.417246,2699.7268
6,35326,NaN,1746558008.375745,481680772524,35539,1046.5605,531.2325,40159.0,0.9656823,1.186084,0,255,16.099154,2658.1428
6,35326,NaN,1746558008.375745,481680772524,35539,1098.8048,533.01886,40358.0,-0.5994786,1.2155322,1,255,16.71482,2697.4314
4,35326,NaN,1746558008.3790789,485930952549,35529,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35326,NaN,1746558008.3791153,501885752508,35536,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35326,NaN,1746558008.3790448,495408491226,35532,131.18353,615.6643,44679.0,-0.0016529488,1.5157568,0,255,12.226562,2666.4104
7,35326,NaN,1746558008.3790448,495408491226,35532,87.5786,614.46185,45114.0,-0.66789144,1.3338671,1,255,12.417246,2699.7268
6,35327,NaN,1746558008.3860085,481690772811,35540,1046.566,531.2327,40178.0,0.9578751,1.1853828,0,255,16.099154,2658.1428
6,35327,NaN,1746558008.3860085,481690772811,35540,1098.807,532.99585,40376.0,-0.55463564,1.199789,1,255,16.426888,2659.163
4,35327,NaN,1746558008.389058,485940952836,35530,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35327,NaN,1746558008.3890543,501895752795,35537,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35327,NaN,1746558008.3890994,495418491540,35533,131.13335,615.6691,44742.0,-0.031923912,1.6232637,0,255,12.226562,2666.4104
7,35327,NaN,1746558008.3890994,495418491540,35533,87.59444,614.4404,45305.0,-0.6690011,1.3399615,1,255,12.417246,2699.7268
